Open,High,Low,Close,Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,RETURN,RSI,EMA20,MACD,ATR,VOL_THRESHOLD,NEXT_DAY_RETURN,Target,RANGE,VIX_CHANGE,MOMENTUM_3,MOMENTUM_5
28798.609375,28971.009765625,28772.7109375,28930.41015625,11100,15.130000114440918,15.130000114440918,13.779999732971191,14.75,0,0.00946434370271021,49.657499244148504,29002.544094278564,60.64575171600518,390.22972016912433,0.01348856507949718,-0.014763336319576159,0,198.298828125,-0.025115671617095714,0.0029686779189286305,-0.01532706319126309
29134.9296875,29183.759765625,28448.48046875,28503.30078125,11500,14.75,15.239999771118164,13.449999809265137,14.970000267028809,0,-0.014763336319576159,42.71599009475751,28954.99711208537,15.103655657349009,414.87611850525826,0.014555371031911206,-0.002301131516429411,1,735.279296875,0.014915272340936259,-0.007195029638177641,-0.032111449222708144
28546.310546875,28581.8203125,28384.08984375,28437.7109375,11100,14.970000267028809,15.369999885559082,14.329999923706055,15.180000305175781,0,-0.002301131516429411,41.75079310007652,28905.73176212486,-25.981833413188724,399.3657149513112,0.014043525367742556,0.010502600667522621,2,197.73046875,0.014028058410225475,-0.007727334217240034,-0.014112375594397486
28595.0,28784.349609375,28435.44921875,28736.380859375,11000,15.180000305175781,15.460000038146973,13.430000305175781,15.130000114440918,0,0.010502600667522621,47.561335587445896,28889.60310472011,-34.04970904921356,395.7610489280032,0.013772125685023052,-0.003976204216848078,1,348.900390625,-0.0032938201402944456,-0.006706759282950614,0.0009234357224041645
28766.869140625,28806.970703125,28546.759765625,28622.119140625,9700,15.130000114440918,15.699999809265137,13.720000267028809,15.510000228881836,0,-0.003976204216848078,45.683822190156846,28864.12844147296,-49.09755830479844,386.07889811171725,0.013488829957518189,-0.005326272942998811,1,260.2109375,0.025115671617095714,0.004168582448989877,-0.0012928072010111036
28805.220703125,28978.740234375,28411.69921875,28469.669921875,11400,15.510000228881836,15.510000228881836,12.890000343322754,15.199999809265137,0,-0.005326272942998811,43.23170885310017,28826.560963416014,-72.48885869530204,399.00476364838033,0.014015082181960965,-0.007326739098921786,0,567.041015625,-0.019987131853127504,0.0011238240815245604,-0.015925810656903683
28465.439453125,28484.359375,28209.66015625,28261.080078125,13900,15.199999809265137,15.359999656677246,13.079999923706055,14.260000228881836,0,-0.007326739098921786,40.06305493067528,28772.705641007346,-106.62893789076406,390.1257961556389,0.013804348421120997,-0.0024436626867794242,1,274.69921875,-0.061842078432811864,-0.016540036254946044,-0.008497987828986364
28317.2890625,28385.140625,28163.900390625,28192.01953125,10000,14.260000228881836,14.579999923706055,12.4399995803833,14.270000457763672,0,-0.0024436626867794242,39.04274002202348,28717.402201982837,-137.670822049422,378.0625417427361,0.013410268154917571,-0.0010747306730337636,1,221.240234375,0.0007012783114535015,-0.015026826185086217,-0.008639633717002604
28209.330078125,28455.3203125,28130.08984375,28161.720703125,9700,14.270000457763672,14.489999771118164,12.449999809265137,13.670000076293945,0,-0.0010747306730337636,38.57852806229363,28664.480154472563,-162.83948883841003,374.2888222432549,0.01329069435028242,-0.001771575875136877,1,325.23046875,-0.042046276259458226,-0.010816747071359045,-0.019997652420538636
28216.08984375,28249.599609375,28031.419921875,28111.830078125,17400,13.670000076293945,13.949999809265137,12.359999656677246,13.140000343322754,0,-0.001771575875136877,37.78193228831525,28611.846813868033,-184.68268801680097,363.1381697615939,0.01291762822813044,-0.023273120183986196,0,218.1796875,-0.03877101170542785,-0.005281114507563522,-0.017828486423135503
27937.619140625,27997.140625,27384.869140625,27457.580078125,12700,13.140000343322754,15.609999656677246,12.520000457763672,15.15999984741211,0,-0.023273120183986196,29.25182062327788,28501.916648559174,-251.8825427803058,389.1255103143372,0.014171879284596789,3.862492149653285e-05,1,612.271484375,0.15372902978011282,-0.02605132464209936,-0.03554975686501893
